ID,Date,DateStamp,Total,Type
111,2019-12-30,2019-12-30 04:51:39.260,45499,0
112,2019-12-31,2019-12-31 04:33:33.483,7387,0
113,2020-01-01,2020-01-01 04:33:45.617,8678,0
114,2020-01-02,2020-01-02 04:34:01.577,9279,0
115,2020-01-03,2020-01-03 04:34:11.070,9657,0
116,2020-01-04,2020-01-04 04:34:52.203,11278,0
117,2020-01-05,2020-01-05 04:35:45.453,13699,0
118,2020-01-06,2020-01-06 04:34:53.140,11653,0
119,2020-01-07,2020-01-07 04:33:46.153,8726,0
120,2020-01-08,2020-01-08 04:33:55.507,9196,0
121,2020-01-08,2020-01-08 20:29:25.127,80659,1
122,2020-01-09,2020-01-09 04:30:08.157,1,0
123,2020-01-10,2020-01-10 04:30:09.313,25,0
124,2020-01-11,2020-01-11 04:30:09.293,23,0
125,2020-01-12,2020-01-12 04:30:09.000,26,0
126,2020-01-12,2020-01-12 21:23:08.333,70839,1
127,2020-01-13,2020-01-13 04:30:04.890,0,0
128,2020-01-14,2020-01-14 04:30:07.500,17,0
129,2020-01-15,2020-01-15 04:30:08.487,9,0
130,2020-01-16,2020-01-16 04:30:03.723,17,0
131,2020-01-17,2020-01-17 04:30:08.770,10,0
132,2020-01-18,2020-01-18 04:31:13.700,2766,0
133,2020-01-18,2020-01-18 20:41:49.167,148516,1
134,2020-01-19,2020-01-19 04:30:08.487,0,0
135,2020-01-20,2020-01-20 04:30:04.400,12,0
136,2020-01-21,2020-01-21 04:30:09.133,16,0
137,2020-01-22,2020-01-22 04:30:09.933,15,0
138,2020-01-23,2020-01-23 04:30:07.930,11,0
139,2020-01-24,2020-01-24 04:30:24.330,3079,0
140,2020-01-25,2020-01-25 04:30:56.033,9459,0
141,2020-01-26,2020-01-26 04:32:21.423,16896,0
142,2020-01-27,2020-01-27 04:33:13.827,25648,0
143,2020-01-28,2020-01-28 04:31:01.227,10141,0
144,2020-01-29,2020-01-29 04:31:09.480,9342,0
145,2020-01-30,2020-01-30 04:31:13.680,9369,0
146,2020-01-31,2020-01-31 04:31:14.607,8900,0
